No,Fields Name,Path,Type,Deskripsi,Status
189,proxyProtocol,ISAPI,XML Field,,FALSE
190,addressingFormatType,ISAPI,XML Field,,FALSE
191,ipAddress,ISAPI,XML Field,,FALSE
192,managePortNo,ISAPI,XML Field,,FALSE
193,srcInputPort,ISAPI,XML Field,,FALSE
194,userName,ISAPI,XML Field,,FALSE
195,streamType,ISAPI,XML Field,,FALSE
196,online,ISAPI,XML Field,,FALSE
197,streamingProxyChannelId,ISAPI,XML Field,,FALSE
198,streamingProxyChannelId,ISAPI,XML Field,,FALSE
199,inputProxyPortIdList,ISAPI,XML Field,,FALSE
200,outputProxyPortIdList,ISAPI,XML Field,,FALSE
201,chanDetectResult,ISAPI,XML Field,,FALSE
202,PasswordStatus,ISAPI,XML Field,,FALSE
203,id,ISAPI,XML Field,,FALSE
204,proxyProtocol,ISAPI,XML Field,,FALSE
205,addressingFormatType,ISAPI,XML Field,,FALSE
206,ipAddress,ISAPI,XML Field,,FALSE
207,managePortNo,ISAPI,XML Field,,FALSE
208,srcInputPort,ISAPI,XML Field,,FALSE
209,userName,ISAPI,XML Field,,FALSE
210,streamType,ISAPI,XML Field,,FALSE
211,online,ISAPI,XML Field,,FALSE
212,streamingProxyChannelId,ISAPI,XML Field,,FALSE
213,streamingProxyChannelId,ISAPI,XML Field,,FALSE
214,inputProxyPortIdList,ISAPI,XML Field,,FALSE
215,outputProxyPortIdList,ISAPI,XML Field,,FALSE
216,chanDetectResult,ISAPI,XML Field,,FALSE
217,PasswordStatus,ISAPI,XML Field,,FALSE
218,id,ISAPI,XML Field,,FALSE
219,proxyProtocol,ISAPI,XML Field,,FALSE
220,addressingFormatType,ISAPI,XML Field,,FALSE
221,ipAddress,ISAPI,XML Field,,FALSE
222,managePortNo,ISAPI,XML Field,,FALSE
223,srcInputPort,ISAPI,XML Field,,FALSE
224,userName,ISAPI,XML Field,,FALSE
225,streamType,ISAPI,XML Field,,FALSE
226,online,ISAPI,XML Field,,FALSE
227,streamingProxyChannelId,ISAPI,XML Field,,FALSE
228,streamingProxyChannelId,ISAPI,XML Field,,FALSE
229,inputProxyPortIdList,ISAPI,XML Field,,FALSE
230,outputProxyPortIdList,ISAPI,XML Field,,FALSE
231,chanDetectResult,ISAPI,XML Field,,FALSE
232,PasswordStatus,ISAPI,XML Field,,FALSE
233,id,ISAPI,XML Field,,FALSE
234,proxyProtocol,ISAPI,XML Field,,FALSE
235,addressingFormatType,ISAPI,XML Field,,FALSE
236,ipAddress,ISAPI,XML Field,,FALSE
237,managePortNo,ISAPI,XML Field,,FALSE
238,srcInputPort,ISAPI,XML Field,,FALSE
239,userName,ISAPI,XML Field,,FALSE
240,streamType,ISAPI,XML Field,,FALSE
241,online,ISAPI,XML Field,,FALSE
242,streamingProxyChannelId,ISAPI,XML Field,,FALSE
243,streamingProxyChannelId,ISAPI,XML Field,,FALSE
244,inputProxyPortIdList,ISAPI,XML Field,,FALSE
245,outputProxyPortIdList,ISAPI,XML Field,,FALSE
246,chanDetectResult,ISAPI,XML Field,,FALSE
247,PasswordStatus,ISAPI,XML Field,,FALSE
248,id,ISAPI,XML Field,,FALSE
249,proxyProtocol,ISAPI,XML Field,,FALSE
250,addressingFormatType,ISAPI,XML Field,,FALSE
251,ipAddress,ISAPI,XML Field,,FALSE
252,managePortNo,ISAPI,XML Field,,FALSE
253,srcInputPort,ISAPI,XML Field,,FALSE
254,userName,ISAPI,XML Field,,FALSE
255,streamType,ISAPI,XML Field,,FALSE
256,online,ISAPI,XML Field,,FALSE
257,streamingProxyChannelId,ISAPI,XML Field,,FALSE
258,streamingProxyChannelId,ISAPI,XML Field,,FALSE
259,inputProxyPortIdList,ISAPI,XML Field,,FALSE
260,outputProxyPortIdList,ISAPI,XML Field,,FALSE
261,chanDetectResult,ISAPI,XML Field,,FALSE
262,PasswordStatus,ISAPI,XML Field,,FALSE
263,id,ISAPI,XML Field,,FALSE
264,proxyProtocol,ISAPI,XML Field,,FALSE
265,addressingFormatType,ISAPI,XML Field,,FALSE
266,ipAddress,ISAPI,XML Field,,FALSE
267,managePortNo,ISAPI,XML Field,,FALSE
268,srcInputPort,ISAPI,XML Field,,FALSE
269,userName,ISAPI,XML Field,,FALSE
270,streamType,ISAPI,XML Field,,FALSE
271,online,ISAPI,XML Field,,FALSE
