No,Fields Name,Path,Type,Deskripsi,Status
140,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
141,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
142,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
143,id,ISAPI,XML Field,Technical parameter,FALSE
144,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
145,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
146,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
147,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
148,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
149,userName,ISAPI,XML Field,Technical parameter,FALSE
150,streamType,ISAPI,XML Field,Technical parameter,FALSE
151,online,ISAPI,XML Field,Technical parameter,FALSE
152,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
153,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
154,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
155,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
156,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
157,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
158,id,ISAPI,XML Field,Technical parameter,FALSE
159,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
160,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
161,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
162,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
163,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
164,userName,ISAPI,XML Field,Technical parameter,FALSE
165,streamType,ISAPI,XML Field,Technical parameter,FALSE
166,online,ISAPI,XML Field,Technical parameter,FALSE
167,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
168,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
169,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
170,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
171,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
172,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
173,id,ISAPI,XML Field,Technical parameter,FALSE
174,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
175,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
176,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
177,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
178,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
179,userName,ISAPI,XML Field,Technical parameter,FALSE
180,streamType,ISAPI,XML Field,Technical parameter,FALSE
181,online,ISAPI,XML Field,Technical parameter,FALSE
182,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
183,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
184,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
185,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
186,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
187,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
188,id,ISAPI,XML Field,Technical parameter,FALSE
189,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
190,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
191,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
192,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
193,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
194,userName,ISAPI,XML Field,Technical parameter,FALSE
195,streamType,ISAPI,XML Field,Technical parameter,FALSE
196,online,ISAPI,XML Field,Technical parameter,FALSE
197,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
198,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
199,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
200,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
201,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
202,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
203,id,ISAPI,XML Field,Technical parameter,FALSE
204,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
205,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
206,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
207,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
208,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
209,userName,ISAPI,XML Field,Technical parameter,FALSE
210,streamType,ISAPI,XML Field,Technical parameter,FALSE
211,online,ISAPI,XML Field,Technical parameter,FALSE
212,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
213,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
214,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
215,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
216,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
217,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
218,id,ISAPI,XML Field,Technical parameter,FALSE
219,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
220,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
221,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
222,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
223,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
224,userName,ISAPI,XML Field,Technical parameter,FALSE
225,streamType,ISAPI,XML Field,Technical parameter,FALSE
226,online,ISAPI,XML Field,Technical parameter,FALSE
227,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
228,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
229,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
230,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
231,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
232,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
233,id,ISAPI,XML Field,Technical parameter,FALSE
234,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
235,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
236,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
237,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
238,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
239,userName,ISAPI,XML Field,Technical parameter,FALSE
240,streamType,ISAPI,XML Field,Technical parameter,FALSE
241,online,ISAPI,XML Field,Technical parameter,FALSE
242,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
243,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
244,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
245,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
246,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
247,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
248,id,ISAPI,XML Field,Technical parameter,FALSE
249,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
250,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
251,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
252,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
253,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
254,userName,ISAPI,XML Field,Technical parameter,FALSE
255,streamType,ISAPI,XML Field,Technical parameter,FALSE
256,online,ISAPI,XML Field,Technical parameter,FALSE
257,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
258,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
259,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
260,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
261,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
262,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
263,id,ISAPI,XML Field,Technical parameter,FALSE
264,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
265,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
266,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
267,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
268,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
269,userName,ISAPI,XML Field,Technical parameter,FALSE
270,streamType,ISAPI,XML Field,Technical parameter,FALSE
271,online,ISAPI,XML Field,Technical parameter,FALSE
272,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
273,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
274,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
275,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
276,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
277,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
278,id,ISAPI,XML Field,Technical parameter,FALSE
279,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
280,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
281,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
282,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
