2026-07-01 04:41:38 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66932', '9E2133T16585', 0, 'production', 0, 0, '9E2133T16585', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:46:15 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66933', '9E2133T16585', 0, 'production', 0, 0, '9E2133T16585', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:46:16 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66934', '', 0, 'production', 0, 0, '', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:50:47 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66935', '', 0, 'production', 0, 0, '', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:50:49 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66936', '9E2133T16585', 0, 'production', 0, 0, '9E2133T16585', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:55:07 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66937', '', 0, 'production', 0, 0, '', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:55:09 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66938', '9E2133T16585', 0, 'production', 0, 0, '9E2133T16585', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:59:32 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66939', '', 0, 'production', 0, 0, '', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 04:59:33 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66940', '9E2133T16585', 0, 'production', 0, 0, '9E2133T16585', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
2026-07-01 05:03:33 | Error   | 1     | Failed to issue SQL query: query = INSERT INTO `physicaldevice` (`id`,`serialnumber`,`location_id`,`status`,`brand_id`,`model_id`,`asset_number`,`purchase_date`,`end_of_warranty`,`finalclass`) VALUES ('66941', '9E2133T16585', 0, 'production', 0, 0, '9E2133T16585', NULL, NULL, 'PowerSource'), mysql_errno = 1452, mysql_error = Cannot add or update a child row: a foreign key constraint fails (`infra`.`physicaldevice`, CONSTRAINT `fk_physdev_location` FOREIGN KEY (`location_id`) REFERENCES `location` (`id`) ON DELETE SET NULL) | IssueLog |||
